product_name,energy_100g,fat_100g,carbohydrates_100g,proteins_100g,name,,,,
butter_chicken,202,14.52,4.32,13.87,Butter Chicken,,,,
butter_naan,311,11.59,42.72,8.49,Butter Naan,,,,
chicken_fried_rice,166,6.04,21.12,6.29,Chicken Fried Rice,,,,
chole_bhature,417,14.02,62.41,10.05,Chole Bhature,,,,
dahi_bhalla,394,6.6,33.98,7.43,Dahi Bhalla,,,,
dal_makhani,181,8.77,20.49,6.78,Dal Makhani,,,,
gajar_halwa,175,5,30.48,4.07,Gajar Halwa,,,,
hilsa_fish_curry,100,4.59,1.9,12.4,Hilsa Fish Cuury,,,,
idli,135,0.62,26.31,6.36,Idli,,,,
jalebi,300,4.31,62.36,4.19,Jalebi,,,,
kachori,270,10.01,35.69,9.84,Kachori,,,,
kadai_paneer,131,9.44,5.98,6.35,Kadai Paneer,,,,
kulfi,227,12.59,26.28,4,Kulfi,,,,
masala_dosa,188,7.31,27.34,3.76,Masala Dosa,,,,
nalli_nihari,268.875,23.81,19.05,1.19,Nalli Nihari,,,,
pasta,131,1.05,24.93,5.15,Pasta,,,,
peda,409,23.07,39.1,12.78,Peda,,,,
pizza,230,8.52,29.46,8.89,Pizza,,,,
rasgulla,213,1.11,48.24,3.62,Rasgulla,,,,
samosa,308,17.86,32.21,4.67,Samosa,,,,
vada_pav,217,8.51,28.69,6.55,Vada Pav,,,,
,,,,,,,,,
